yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir,date
2015,7,9,3,15,70,13.4,-999,4.98721,489.751,0.734984,0.477743,212.863,2015-07-09
2015,7,9,3,45,70,13.4,-999,4.94943,407.305,0.688716,0.414024,219.026,2015-07-09
2015,7,9,4,15,70,13.4,-999,3.6831,-1569.24,0.797892,0.569984,218.741,2015-07-09
2015,7,9,4,45,70,13.4,-999,4.5951,-397.736,1.68298,0.673055,225.159,2015-07-09
2015,7,9,5,15,70,13.4,-999,5.5997,-551.396,1.80755,0.894257,227.355,2015-07-09
2015,7,9,5,45,70,13.4,-999,5.64871,-395.582,2.36354,0.816689,218.393,2015-07-09
2015,7,9,6,15,70,13.4,-999,5.42696,-392.261,2.28318,0.981051,209.374,2015-07-09
2015,7,9,6,45,70,13.4,-999,5.98634,-512.988,2.46419,0.871124,215.501,2015-07-09
2015,7,9,7,15,70,13.4,-999,5.68444,-567.451,2.47594,0.858414,213.827,2015-07-09
2015,7,9,7,45,70,13.4,-999,5.69095,-271.823,2.94565,0.850744,207.468,2015-07-09
2015,7,9,8,15,70,13.4,-999,5.57241,-356.503,2.35293,0.808191,213.365,2015-07-09
2015,7,9,8,45,70,13.4,-999,5.30437,-162.98,2.99566,0.788394,203.153,2015-07-09
2015,7,9,9,15,70,13.4,-999,5.17551,-260.059,3.18848,0.884346,202.358,2015-07-09
2015,7,9,9,45,70,13.4,-999,5.21401,-226.499,2.01643,0.714139,215.252,2015-07-09
2015,7,9,10,15,70,13.4,-999,4.62758,-480.669,1.9911,0.951958,211.899,2015-07-09
2015,7,9,10,45,70,13.4,-999,4.84531,-272.241,2.45032,0.813771,209.729,2015-07-09
2015,7,9,11,15,70,13.4,-999,3.76176,-226.377,1.64338,0.751537,203.951,2015-07-09
2015,7,9,11,45,70,13.4,-999,3.69611,-208.446,1.47513,0.504041,195.399,2015-07-09
2015,7,9,12,15,70,13.4,-999,3.99079,-638.333,1.84933,0.699218,197.042,2015-07-09
2015,7,9,12,45,70,13.4,-999,5.26225,-628.421,3.04328,0.920083,207.829,2015-07-09
2015,7,9,13,15,70,13.4,-999,3.74606,-993.029,2.07911,0.684348,197.558,2015-07-09
2015,7,9,13,45,70,13.4,-999,4.19078,-228.001,1.64385,0.666088,190.202,2015-07-09
2015,7,9,14,15,70,13.4,-999,3.97439,-262.103,5.41798,0.682369,216.287,2015-07-09
2015,7,9,14,45,70,13.4,-999,5.60138,-488.115,5.86274,0.719378,217.114,2015-07-09
2015,7,9,15,15,70,13.4,-999,4.79896,56.5224,0.753641,0.283204,198.504,2015-07-09
2015,7,9,15,45,70,13.4,-999,3.4473,32.4617,0.349605,0.198248,197.566,2015-07-09
2015,7,9,16,15,70,13.4,-999,2.89509,166.37,0.354592,0.18632,190.712,2015-07-09
2015,7,9,16,45,70,13.4,-999,3.57569,45.9366,0.229241,0.171485,186.765,2015-07-09
2015,7,9,17,15,70,13.4,-999,3.13601,75.3772,0.196128,0.174041,175.956,2015-07-09
2015,7,9,17,45,70,13.4,-999,3.5133,41.0123,0.0894882,0.106408,179.608,2015-07-09
2015,7,9,18,15,70,13.4,-999,4.00767,45.5153,0.14133,0.11446,177.407,2015-07-09
2015,7,9,18,45,70,13.4,-999,4.77338,4.57761,0.347249,0.0731005,181.234,2015-07-09
2015,7,9,19,15,70,13.4,-999,4.88076,16.0102,0.188373,0.134848,188.903,2015-07-09
2015,7,9,19,45,70,13.4,-999,4.63173,8.58438,0.119255,0.105453,184.778,2015-07-09
2015,7,9,20,15,70,13.4,-999,4.27394,49.1037,0.172232,0.0586364,181.957,2015-07-09
2015,7,9,20,45,70,13.4,-999,4.84469,3.73378,0.0666643,0.0537584,182.007,2015-07-09
2015,7,9,21,15,70,13.4,-999,4.62246,3.28636,0.141863,0.0666096,187.376,2015-07-09
2015,7,9,21,45,70,13.4,-999,4.77714,3.74395,0.120456,0.0507173,188.227,2015-07-09
2015,7,9,22,15,70,13.4,-999,4.14496,12.6303,0.204471,0.116296,171.791,2015-07-09
2015,7,9,22,45,70,13.4,-999,4.42758,12.1232,0.122646,0.103242,165.209,2015-07-09
2015,7,9,23,15,70,13.4,-999,4.89401,9.72809,0.109173,0.104416,166.514,2015-07-09
2015,7,9,23,45,70,13.4,-999,5.37574,20.9795,0.147995,0.169043,160.962,2015-07-09
2015,7,10,0,15,70,13.4,-999,5.22226,36.5767,0.352863,0.233353,165.883,2015-07-10
2015,7,10,0,45,70,13.4,-999,4.80949,18.1248,0.178953,0.153853,170.91,2015-07-10
2015,7,10,1,15,70,13.4,-999,5.07908,39.0721,0.282361,0.22022,168.025,2015-07-10
2015,7,10,1,45,70,13.4,-999,4.69855,40.8391,0.19329,0.22495,173.658,2015-07-10
2015,7,10,2,15,70,13.4,-999,4.42349,46.5567,0.211643,0.206435,176.886,2015-07-10
2015,7,10,2,45,70,13.4,-999,4.37132,50.9939,0.386537,0.20182,168.083,2015-07-10
2015,7,10,3,15,70,13.4,-999,4.16893,72.053,0.434055,0.229861,157.213,2015-07-10
2015,7,10,3,45,70,13.4,-999,3.56304,2005.94,0.329927,0.360273,138.344,2015-07-10
2015,7,10,4,15,70,13.4,-999,3.70593,3131.59,0.629127,0.545078,146.806,2015-07-10
2015,7,10,4,45,70,13.4,-999,2.97222,-1617.67,0.761629,0.531602,144.492,2015-07-10
2015,7,10,5,15,70,13.4,-999,4.37251,1618.54,1.05472,0.739951,152.208,2015-07-10
2015,7,10,5,45,70,13.4,-999,5.43178,-2856.31,1.41938,0.569286,158.178,2015-07-10
2015,7,10,6,15,70,13.4,-999,4.62175,193.066,2.18907,0.410645,169.586,2015-07-10
